,TIME,FLUX,FLUX_ERR
60,57218.1145601852,0.001475830194707764,7.235287939992475e-05
187,57231.6256712963,0.0022314991049451004,5.9449138660283315e-05
47,57237.9416435185,0.0015902936669466364,4.937825713803888e-05
253,57239.8596990741,0.0012825433302401368,3.6729146858926394e-05
230,57256.7430324074,0.001297998504278105,2.3191022893686057e-05
177,57261.0763541667,0.001433860690633022,4.598816772330147e-05
254,57266.1312152778,0.0011460511981380176,4.799395673164027e-05
31,57271.0471875,0.0013598162576276395,1.922526796251641e-05
67,57281.0381712963,0.0012257070966083905,4.236892160265704e-05
242,57284.0930324074,0.0018271725637898032,2.820862260118513e-05
179,57286.617337963,0.001382503281414099,5.566668745729289e-05
82,57288.3444212963,0.0012216813848599103,2.2582108196606424e-05
250,57290.4715046296,0.001210627210891129,5.3453704701992565e-05
25,57292.4666435185,0.0014369168500574416,2.5249658958554465e-05
271,57296.917337963,0.001349978633145952,2.484948841373212e-05
36,57298.0603935185,0.0014639579736181294,5.9755376088209965e-05
83,57300.6520601852,0.0017124631402923981,2.839873634346519e-05
384,57302.3756712963,0.0011833023610129832,5.072189180823305e-05
350,57304.4978935185,0.0014130312202874507,2.5600858319725917e-05
45,57306.7659490741,0.001369487249778047,5.671861284984428e-05
78,57308.6263657407,0.0014989319518495278,2.6469185107055708e-05
314,57310.0340046296,0.0012883148136051637,5.3161022119806164e-05
109,57312.9485763889,0.0014536564689800995,2.6572852621609836e-05
76,57314.811087963,0.0011333735529648887,5.0843206315657634e-05
342,57316.0815277778,0.0016362882257541693,3.074545426399957e-05
344,57318.1360763889,0.0011742208608928686,5.078263641521349e-05
315,57320.7159375,0.0012949517357908789,2.5663968219292672e-05
394,57322.4504282407,0.0005010860665871302,3.4503385838849225e-05
226,57331.9777546296,0.001326099266004526,4.12787356675269e-05
379,57334.6326157407,0.0012075957390732385,5.201958472258543e-05
160,57339.3506712963,0.0011210306406774682,1.894029091832238e-05
224,57344.5551967593,0.0012006454338974275,1.1109334602568709e-05
236,57349.5840046296,0.000986088783501926,2.581637732433957e-05
144,57354.7694097222,0.0014446352430624782,2.5318305730051956e-05
293,57359.6992824074,0.0006263853573635792,1.759506401301673e-05
5,57364.4708101852,0.0008504003641131324,9.143922139309794e-06
89,57369.6569097222,0.001432808955903566,2.2217365053240547e-05
389,57374.0437268519,0.0008684874105078307,2.3608700998951687e-05
402,57384.6326157407,0.002051332664659069,3.1833637654698376e-05
322,57389.4145601852,0.0015431619538034064,4.950399623735666e-05
301,57395.8701041667,0.0013716151856306093,4.022165169705669e-05
94,57399.6430208333,0.0014928507554893536,4.3250915968994664e-05
259,57404.5631712963,0.001940318109025691,3.217320916799981e-05
55,57409.1457986111,0.0021176740076599572,6.23229314552532e-05
192,57414.3305208333,0.001726576848682261,6.49908204537115e-05
229,57419.1145601852,0.0024965859909048694,6.18284772618401e-05
343,57424.8339930556,0.003214590349021169,4.4489493822677507e-05
53,57434.8277546296,0.0011043016812863566,4.872336947791721e-05
151,57439.4041435185,0.0006488932580549555,2.5547894279640626e-05
385,57444.7187268519,0.0032185347573845625,4.410902933301943e-05
287,57449.036087963,0.0010006978581474984,2.3297166745623965e-05
142,57454.0888657407,0.0017674712324635084,6.471274343463865e-05
397,57459.9326273148,0.0017695264161397065,4.718029280146476e-05
366,57464.4562152778,0.0038078664377954098,5.322215510063009e-05
376,57469.8291435185,0.0025949228593022786,7.090214076281305e-05
328,57474.2868171296,0.0015563448334617648,6.271050068233266e-05
377,57489.0596990741,0.001992855977255621,6.10507871261493e-05
44,57493.3812268519,0.0019089819141956503,5.752403541458933e-05
34,57504.0096990741,0.0020008146788466938,3.36857847625259e-05
267,57509.4604050926,0.0020017596518452953,6.366851922015849e-05
277,57572.5208101852,0.03823661365313852,0.00019390845755076086
125,57580.6867824074,0.028845558424951467,0.00013867302267643104
93,57591.7416435185,0.03910690225958562,0.00022775716709445392
190,57597.7201041667,0.04766618288153549,0.0005534807042237331
275,57602.0376157407,0.03878222155272807,0.00026846595184944926
21,57604.0194212963,0.02946937280007104,0.00010322907349759767
3,57612.0596875,0.02524945719469391,0.0001165872406273908
400,57620.5041435185,0.028330212403016652,0.00012954535106598862
288,57626.2731712963,0.03178025151259933,0.0002000753104112913
59,57632.3881712963,0.027637143066419397,0.00012161378907772791
49,57644.3002546296,0.03350991213575938,0.00016922148177291797
252,57652.6069212963,0.03560804106072012,0.00015780716262956668
348,57659.590162037,0.03705252433141237,0.0001918876849060278
237,57673.7881597222,0.028261446536415918,0.00013512110127048113
114,57680.642337963,0.034787179565138195,0.00015024745031952505
362,57694.0715046296,0.027480451132221608,0.00013847413147203283
171,57700.3777430556,0.02883505060182775,0.00014317086796750237
365,57708.036712963,0.03293865056993652,0.0001526214741494573
112,57715.523587963,0.028113642893324218,0.0001388963001347074
239,57722.0464930556,0.027687708727127145,0.00014043381097377796
147,57744.5069212963,0.027343878288300247,0.00012491935372100838
294,57752.4076157407,0.02631847259129783,0.00012978195126677988
141,57760.1687152778,0.025863308580418316,0.000144020012000198
161,57772.9200925926,0.029259139204981577,0.000155050048200625
340,57784.0812152778,0.040378779848810026,0.00023445161924774913
186,57799.1145486111,0.027661522397758053,7.082515982065278e-05
205,57801.2374652778,0.03020182256930005,9.140931900202809e-05
